"","loc","publication_date","title","keywords","image_loc"
"15","https://www.20min.ch/story/vitznau-kanufahrer-vom-wind-erfasst-und-gekentert-tot-194674924667","2023-11-06T10:46:44+01:00","Vitznau: Mann wird auf Kanu vom Wind erfasst und stirbt",NA,"https://cdn.unitycms.io/images/7lQ3i5rTa5M8ndhFZyHmwL.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=-rOqlqLvGpY"
"16","https://www.20min.ch/story/hans-meiser-mit-77-jahren-gestorben-913731251577","2023-11-06T10:39:45+01:00","Hans Meiser mit 77 Jahren gestorben",NA,"https://cdn.unitycms.io/images/EH0vR9b44eHAeB4PgGFZDj.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=iINGlhgyKYQ"
"17","https://www.20min.ch/story/nach-verbot-in-deutschland-schweiz-soll-die-antisemitische-gruppierung-samidoun-verbieten-480629430232","2023-11-06T10:23:38+01:00","Deutsches Verbot: Israel-Hasser weichen in die Schweiz aus – Politik will Verbot",NA,"https://cdn.unitycms.io/images/7DYACnJ5KzT8_LnAOrsucM.jpg?op=ocroped&val=1200,1200,825,892,108,68&sum=tsb5_3FHhAE"
"18","https://www.20min.ch/story/in-langnau-am-albis-zh-34-jaehriger-stirbt-bei-motoradunfall-711720387617","2023-11-06T10:22:34+01:00","In Langnau am Albis ZH: 34-Jähriger stirbt bei Motoradunfall.",NA,"https://cdn.unitycms.io/images/7MTpuBtdqtoB9IihkzWcG5.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=H5HyT9b6yWs"
"19","https://www.20min.ch/story/fall-brian-k-ehemaliger-gefaengnischef-entschuldigt-mit-brief-145212116029","2023-11-06T10:19:22+01:00","Fall Brian K.: Ehemaliger Gefängnischef entschuldigt mit Brief.",NA,"https://cdn.unitycms.io/images/0Prxx8f9Km38bkkNx1vABs.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=ZRW2YHhWmow"
"20","https://www.20min.ch/story/temu-und-shein-haende-weg-von-diesem-spielzeug-967722651414","2023-11-06T10:14:27+01:00","Temu und Shein: Hände weg von diesem Spielzeug",NA,"https://cdn.unitycms.io/images/4Omt9Qviq3sAwN2RjcTVIo.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=qg21Y1tn1kw"
"21","https://www.20min.ch/story/ziegelbruecke-bankomat-gesprengt-595423499573","2023-11-06T10:05:31+01:00","Ziegelbrücke: Bankomat gesprengt",NA,"https://cdn.unitycms.io/images/1vJGDL2VKNABZ5UjML1O2v.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=QFP4AKWDUeA"
"22","https://www.20min.ch/story/abnehmspritze-kosten-fallen-zulasten-der-praemienzahler-383829089976","2023-11-06T09:48:48+01:00","Abnehmspritze: Kosten fallen zulasten der Prämienzahler",NA,"https://cdn.unitycms.io/images/4TlvVVThq0FAE5q-xmaPHq.jpg?op=ocroped&val=1200,1200,861,975,0,0&sum=Yo7JRCnBjOQ"
"23","https://www.20min.ch/story/lugano-carlo-marquardt-wird-vermisst-404678591099","2023-11-06T09:10:49+01:00","Lugano: Carlo Marquardt wird vermisst",NA,"https://cdn.unitycms.io/images/8ThCDkIGKcj8OPLYkoJEam.jpg?op=ocroped&val=1200,1200,1000,743,68,0&sum=kqAFjNgpXL4"
"24","https://www.20min.ch/story/nahostkrieg-hamas-entfuehrt-die-kleine-emily-299216253096","2023-11-06T08:18:46+01:00","Nahostkrieg: Hamas entführt die kleine Emily",NA,"https://cdn.unitycms.io/images/02FsKPAf44k9w_38ohh4hb.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=oX0mWzMZiZs"
"25","https://www.20min.ch/story/polizei-an-der-arbeit-in-wolhusen-ein-zweites-gestohlenes-auto-kam-angebraust-664969486115","2023-11-06T08:01:10+01:00","Polizei an der Arbeit in Wolhusen: Ein zweites gestohlenes Auto kam angebraust   ",NA,"https://cdn.unitycms.io/images/1-D3_RZ84ve8PuAJUqpM0I.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=WOKf_5m0T6o"
"26","https://www.20min.ch/story/israels-armee-teilt-gazastreifen-in-noerdliche-und-suedliche-haelfte-890628022168","2023-11-06T07:54:57+01:00","Israels Armee teilt Gazastreifen in nördliche und südliche Hälfte",NA,"https://cdn.unitycms.io/images/2prWIn-pK278HafSGNk01o.jpg?op=ocroped&val=1200,1200,664,790,210,7&sum=BBOZn-orozc"
"27","https://www.20min.ch/story/crans-montana-unbekannte-rauben-schmuck-aus-juweliergeschaeft-434621750892","2023-11-06T07:54:38+01:00","Crans-Montana: Unbekannte rauben Schmuck aus Juweliergeschäft",NA,"https://cdn.unitycms.io/images/24yCURVi4WLBgkp7kCfn2H.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=4Ov-SLgY400"
"28","https://www.20min.ch/story/raf-camora-zieht-sich-zurueck-meine-familie-braucht-es-zuerich-2023-252266737671","2023-11-06T07:41:55+01:00","Raf Camora zieht sich zurück: «Meine Familie braucht es»",NA,"https://cdn.unitycms.io/images/4i0BTjlFqwHBbDlzY7VnMq.jpg?op=ocroped&val=1200,1200,1000,489,158,0&sum=AfWOJ7iI8nI"
"29","https://www.20min.ch/story/langnau-am-albis-toeff-fahrer-34-stirbt-nach-sturz-998084861435","2023-11-06T06:45:48+01:00","Langnau am Albis: Töff-Fahrer (34) stirbt nach Sturz",NA,"https://cdn.unitycms.io/images/A5DUfqzrKUW9-vERSbiIwp.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=6lxg76dUt6Y"
"30","https://www.20min.ch/story/ukraine-krieg-russland-rekrutiert-arme-und-randstaendige-453678534597","2023-11-06T05:24:02+01:00","Ukraine-Krieg: Selenski beschimpft Putin als «verdammten Terroristen»",NA,"https://cdn.unitycms.io/images/1GFNsLD8aru8q0LPl5BOW9.png?op=ocroped&val=1200,1200,862,903,0,52&sum=D24V4ZvIYlM"
"31","https://www.20min.ch/story/kriminalgericht-luzern-wirt-hoerte-auf-seinen-bekannten-und-hat-nun-einen-schuldenberg-974801687226","2023-11-06T04:44:20+01:00","Kriminalgericht Luzern: Wirt hörte auf seinen Bekannten und hat nun einen Schuldenberg",NA,"https://cdn.unitycms.io/images/F6ItwYQo4sHB4zW9Dfqw9E.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=caADWvXLavc"
"32","https://www.20min.ch/story/basel-polizei-wollte-video-von-dreirosenanlage-veroeffentlichen-306362371681","2023-11-06T04:44:05+01:00","Basel: Polizei wollte Video von Dreirosenanlage veröffentlichen",NA,"https://cdn.unitycms.io/images/9mIvi_01Kn-B8biT5aqTMv.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=9ZeU-_Ym8ro"
"33","https://www.20min.ch/story/alp-fursch-sennenhund-biggie-wird-vermisst-296899113128","2023-11-06T04:43:19+01:00","Alp Fursch: Sennenhund Biggie wird vermisst",NA,"https://cdn.unitycms.io/images/4HtB2RbMaaVApIP1APdfvW.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=b1pjZnXOO10"
"34","https://www.20min.ch/story/fkk-party-und-metal-3-verrueckte-kreuzfahrten-708104320959","2023-11-06T04:41:59+01:00","FKK, Party und Metal: 3 verrückte Kreuzfahrten",NA,"https://cdn.unitycms.io/images/5Uzfs3xjKaGBE5wINT7eF2.jpg?op=ocroped&val=1200,1200,829,944,0,61&sum=RB-pN5QeVBE"
"35","https://www.20min.ch/story/mussten-viel-dreck-fressen-fcb-kampfansage-nach-erloesungssieg-285014148390","2023-11-06T04:41:29+01:00","«Mussten viel Dreck fressen»: FCB-Kampfansage nach Erlösungssieg",NA,"https://cdn.unitycms.io/images/DIQxDDqe42H82bAJrUhuVY.jpg?op=ocroped&val=1200,1200,957,955,45,22&sum=s5k7ZpQDO6g"
"36","https://www.20min.ch/story/swiss-wehrt-sich-nach-rekordgewinn-gegen-abzock-vorwuerfe-637431804718","2023-11-06T04:40:39+01:00","Swiss wehrt sich nach Rekordgewinn gegen Abzock-Vorwürfe ",NA,"https://cdn.unitycms.io/images/3H_qZRQUKmd962jFZ6RH_D.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=9QqDWkL78aM"
"37","https://www.20min.ch/story/hamburger-flughafen-geiselnehmer-koennte-sprengstoff-dabei-haben-949948385080","2023-11-06T04:35:28+01:00","Hamburger Flughafen: Geiselnehmer könnte Sprengstoff dabei haben",NA,"https://cdn.unitycms.io/images/60WhitPv458ALu-Tm2gNIC.jpg?op=ocroped&val=1200,1200,889,753,177,104&sum=KMzUhaoJD3M"
