"","loc","publication_name","language","publication_date","title","keywords"
"100","https://www.tio.ch/dal-mondo/cronaca/1710086/donna-lione-pugnalata-casa-stata","Ticinonline","it","2023-11-04T19:25+01:00","Lione, donna ebrea pugnalata in casa","lione,casa,donna,donna ebrea,pugnalata,stata,porta,svastica,stata incisa,incisa"
"101","https://www.tio.ch/svizzera/cronaca/1710021/va-alla-toilette-pubblica-e-viene-aggredito-e-derubato","Ticinonline","it","2023-11-04T18:50+01:00","Va alla toilette pubblica e viene aggredito e derubato","toilette pubblica,stato,toilette,aggredito,oggetto,berna,accaduto venerdì,accaduto venerdì sera,appuntito,oggetto appuntito"
"102","https://www.tio.ch/svizzera/attualita/1710073/50mila-franchi-a-disposizione-per-gli-aiuti-d-emergenza","Ticinonline","it","2023-11-04T17:26+01:00","50mila franchi a disposizione per gli aiuti d'emergenza","nepal,svizzera,disposizione,aiuti,franchi,emergenza,ambasciata,famiglie,kit,tende"
"103","https://www.tio.ch/sport/motori/1710068/lando-norris-partira-davanti-a-tutti-nello-sprint-shootout","Ticinonline","it","2023-11-04T16:46+01:00","Lando Norris partirà davanti a tutti nello sprint shootout","lando,shootout,lando norris,norris,sprint shootout,partirà,perez,preceduto,max verstappen,verstappen"
"104","https://www.tio.ch/ticino/cronaca/1710061/incidente-antonino","Ticinonline","it","2023-11-04T16:31+01:00","Fumo dal vano motore, si spaventa ed esce di strada","vano motore,fumo,motore,strada,posto,quartino,gambarogno,pompieri,avvenuto,strada cantonale"
"105","https://www.tio.ch/dal-mondo/cronaca/1710065/sisma-il-bilancio-si-aggrava-i-morti-sono-almeno-157","Ticinonline","it","2023-11-04T16:25+01:00","Sisma, il bilancio si aggrava: i morti sono almeno 157","aggrava,bilancio,sisma,nepal,comunicazione,molte località,frane,vie,bloccano,molte"
"106","https://www.tio.ch/sport/motori/1710063/vince-anche-quando-non-e-il-piu-veloce","Ticinonline","it","2023-11-04T16:00+01:00","«Vince anche quando non è il più veloce...»","martin,pecco bagnaia,classe regina,marquez,marc marquez,jorge martin,quando,motogp,bagnaia,marc"
"107","https://www.tio.ch/ticino/cronaca/1710059/pompieri-principio-incendio-locarno-struttura","Ticinonline","it","2023-11-04T15:30+01:00","Principio d'incendio in un B&B, arrivano i pompieri","locarno,pompieri,principio,incendio,struttura,fumo,vani,prime informazioni raccolte,prime informazioni,informazioni raccolte"
"108","https://www.tio.ch/svizzera/cronaca/1710033/scontri-tra-tifoserie-dopo-kloten-zsc-tre-arresti","Ticinonline","it","2023-11-04T15:04+01:00","Scontri tra tifoserie dopo Kloten-ZSC, tre arresti","zsc,tre,tifoserie,polizia,stazione,kloten,scontri,kloten-zsc,stazione ferroviaria,assalto"
"109","https://www.tio.ch/dal-mondo/cronaca/1709983/gaza","Ticinonline","it","2023-11-04T15:01+01:00","L'inferno di Gaza, colpite una scuola, un'ambulanza e la casa di Haniyeh","gaza,scuola,ambulanza,haniyeh,hamas,israele,ospedale,morti,feriti,provocato"
"110","https://www.tio.ch/svizzera/attualita/1710050/federale-piazza-gaza-migliaia-berna","Ticinonline","it","2023-11-04T14:40+01:00","Piazza Federale, in migliaia manifestano per Gaza","federale,piazza federale,piazza,migliaia,gaza,organizzatori,berna,violenza,morti,causato morti"
"111","https://www.tio.ch/ticino/cronaca/1710048/ferrovia-retica-circolazione-bloccata-tra-poschiavo-e-tirano","Ticinonline","it","2023-11-04T14:37+01:00","Ferrovia retica, circolazione bloccata tra Poschiavo e Tirano","poschiavo,tirano,ferrovia,circolazione,retica,ferrovia retica,strada cantonale,strada,gr,rhb"
"112","https://www.tio.ch/dal-mondo/cronaca/1710045/maltempo-un-altra-vittima-e-non-e-finita","Ticinonline","it","2023-11-04T14:17+01:00","Maltempo, un'altra vittima. E non è finita","altra,maltempo,sabato,italia,colpite,pomeriggio,sabato pomeriggio,perturbazione,toscana,metri"
"113","https://www.tio.ch/svizzera/cronaca/1710038/una-vettura-distrutta-dalle-fiamme-sull-a2","Ticinonline","it","2023-11-04T13:51+01:00","Una vettura distrutta dalle fiamme sull'A2","a2,vettura,fiamme,tre,passeggeri,conducente,nidvaldo,mezzanotte,incendio,sabato"
"114","https://www.tio.ch/dal-mondo/cronaca/1710042/dittatore-camara-commando-stato-conakry","Ticinonline","it","2023-11-04T13:38+01:00","L'ex dittatore Camara liberato da un commando armato","camara,dittatore,commando armato,commando,guinea conakry,ex dittatore,stato,conakry,guinea,moussa dadis camara"
"115","https://www.tio.ch/people/people/1710041/film-cicogna-marina-italia-morta","Ticinonline","it","2023-11-04T13:30+01:00","È morta Marina Cicogna","italia,marina,film,morta,cicogna,marina cicogna,anni,cinema,produttrice,storica produttrice cinematografica"
"116","https://www.tio.ch/svizzera/cronaca/1710039/vento-svizzera-pericolo-marcato-nord","Ticinonline","it","2023-11-04T13:26+01:00","Vento, pericolo ""marcato"" a nord delle Alpi","svizzera,vento,pericolo,marcato,nord,alpi,montagna,raffiche,pianura,portale pericoli"
"117","https://www.tio.ch/economia/svizzera/1710037/patate-quest-raccolto-prezzi-situazione","Ticinonline","it","2023-11-04T13:06+01:00","Patate: raccolto molto scarso quest'anno","scarso quest,molto scarso quest,molto scarso,patate,raccolto,quest,prezzi,berna,dovrebbero aumentare,dovrebbero"
