Ville,Canton,Population,Population,Emplois,Emplois,Nuitées,Nuitées,Coordinates,Latitude,Longitude
Münchenstein,Bâle-Campagne,123,"+0012 063,",69,"+0011 843,",–,–,"(47.516941, 7.617519)",47.516941,7.617519
Altstätten,Saint-Gall,124,"+0011 938,",110,"+0007 279,",106,"+0005 491,","(47.378546, 9.541383)",47.378546,9.541383
Bassersdorf,Zurich,125,"+0011 924,",155,"+0004 626,",108,"+0003 928,","(47.438771, 8.625914)",47.438771,8.625914
Weinfelden,Thurgovie,126,"+0011 629,",88,"+0009 899,",–,–,"(47.566894, 9.104073)",47.566894,9.104073
Worb,Berne,127,"+0011 621,",162,"+0004 018,",–,–,"(46.930005, 7.564538)",46.930005,7.564538
Belp,Berne,128,"+0011 603,",149,"+0005 070,",73,"+0018 213,","(46.892467, 7.500023)",46.892467,7.500023
Ittigen,Berne,129,"+0011 430,",65,"+0012 532,",93,"+0011 725,","(46.980255, 7.478193)",46.980255,7.478193
Männedorf,Zurich,130,"+0011 397,",145,"+0005 264,",–,–,"(47.253403, 8.693113)",47.253403,8.693113
Hinwil,Zurich,131,"+0011 354,",115,"+0007 122,",–,–,"(47.299839, 8.839614)",47.299839,8.839614
Romanshorn,Thurgovie,132,"+0011 327,",138,"+0005 859,",89,"+0012 029,","(47.565697, 9.377269)",47.565697,9.377269
Risch,Zoug,133,"+0011 212,",63,"+0012 683,",–,–,"(47.13351, 8.46514)",47.13351,8.46514
Oberwil,Bâle-Campagne,134,"+0011 104,",163,"+0003 819,",–,–,"(47.516869, 7.550769)",47.516869,7.550769
Möhlin,Argovie,135,"+0011 088,",156,"+0004 480,",–,–,"(47.561729, 7.832329)",47.561729,7.832329
Lenzbourg,Argovie,136,"+0011 024,",91,"+0009 653,",67,"+0020 676,","(47.388748, 8.17853)",47.388748,8.17853
Le Locle,Neuchâtel,137,"+0010 878,",97,"+0008 804,",87,"+0012 457,",,,
Davos,Grisons,138,"+0010 832,",94,"+0009 088,",4,"+0670 995,","(46.759179, 9.835859)",46.759179,9.835859
Suhr,Argovie,139,"+0010 724,",151,"+0004 975,",–,–,"(47.372772, 8.08063)",47.372772,8.08063
Zollikofen,Berne,140,"+0010 640,",104,"+0007 851,",–,–,"(46.99905, 7.45809)",46.99905,7.45809
Plan-les-Ouates,Genève,141,"+0010 601,",47,"+0015 349,",–,–,"(46.16762, 6.11912)",46.16762,6.11912
Sarnen,Obwald,142,"+0010 514,",100,"+0008 530,",43,"+0043 299,","(46.895035, 8.248186)",46.895035,8.248186
Flawil,Saint-Gall,143,"+0010 510,",158,"+0004 344,",–,–,"(47.41568, 9.189439)",47.41568,9.189439
